Registration ID,Student ID,Student Name,Enrollment Date,Tuition Fee,Payment Status,Last Sync
101,S202606,MARIA CLARA SANTOS,2026-06-10,40806.01,paid,2026-06-01 08:00:00
102,S202603,Ana Reyes,2026-06-12,62066.35,pending,2026-06-02 08:00:00
103,S202607,  juan dela cruz ,invalid-date,54090.88,nan,2026-06-03 08:00:00
104,,Ana Reyes,2026-06-15,38061.63,Paid,2026-06-04 08:00:00
104,S202604,KATRINA GONZALES,2026-06-20,47817.76, PAID ,2026-06-05 08:00:00
106,S202606,MARIA CLARA SANTOS,2026-07-01,45833.37,pending,2026-06-06 08:00:00
107,S202609,MARIA CLARA SANTOS,2026-07-05,63446.88,pending,2026-06-07 08:00:00
108,S202602,  juan dela cruz ,2026-07-10,58781.35,CANCELLED,2026-06-08 08:00:00
109,S202606,MARIA CLARA SANTOS,2026-07-12,,paid,2026-06-09 08:00:00
110,S202607,  benjamin cruz ,2026-07-15,46587.69,Paid,2026-06-10 08:00:00
111,S202604,MARIA CLARA SANTOS,2026-06-10,48470.05, PAID ,2026-06-11 08:00:00
112,S202603,Ana Reyes,2026-06-12,63610.21,CANCELLED,2026-06-12 08:00:00
113,S202607,Ana Reyes,invalid-date,49281.37,paid,2026-06-13 08:00:00
114,S202607,gabriel mendoza ,2026-06-15,36039.97,CANCELLED,2026-06-14 08:00:00
115,S202602,Ana Reyes,2026-06-20,36850.94,nan,2026-06-15 08:00:00
116,,gabriel mendoza ,2026-07-01,31610.68,paid,2026-06-16 08:00:00
117,S202605,Ana Reyes,2026-07-05,25625.46,paid,2026-06-17 08:00:00
118,S202604,  benjamin cruz ,2026-07-10,41936.06,Paid,2026-06-18 08:00:00
119,S202601, Sofia Bautista ,2026-07-12,40795.26,paid,2026-06-19 08:00:00
120,S202607,gabriel mendoza ,2026-07-15,36739.53,CANCELLED,2026-06-20 08:00:00
121,S202605,jose rizal ,2026-06-10,25563.19,paid,2026-06-21 08:00:00
122,S202601,KATRINA GONZALES,2026-06-12,32953.7,Paid,2026-06-22 08:00:00
123,S202604,  juan dela cruz ,invalid-date,53453.68,Paid,2026-06-23 08:00:00
124,S202600,Ana Reyes,2026-06-15,56607.02,nan,2026-06-24 08:00:00
125,S202609,MARIA CLARA SANTOS,2026-06-20,49238.4,CANCELLED,2026-06-25 08:00:00
126,S202605, Sofia Bautista ,2026-07-01,62052.04,pending,2026-06-26 08:00:00
127,S202608,Ana Reyes,2026-07-05,51043.08,pending,2026-06-27 08:00:00
128,S202600,MARIA CLARA SANTOS,2026-07-10,61598.39,paid,2026-06-28 08:00:00
129,S202609,KATRINA GONZALES,2026-07-12,59001.54,nan,2026-06-29 08:00:00
130,S202602,KATRINA GONZALES,2026-07-15,42978.03, PAID ,2026-06-30 08:00:00
131,S202606,KATRINA GONZALES,2026-06-10,28816.4,paid,2026-07-01 08:00:00
132,S202603,MARIA CLARA SANTOS,2026-06-12,39832.73,nan,2026-07-02 08:00:00
133,S202608,Ana Reyes,invalid-date,51753.65,CANCELLED,2026-07-03 08:00:00
134,S202602,KATRINA GONZALES,2026-06-15,51636.89,CANCELLED,2026-07-04 08:00:00
135,S202604,  benjamin cruz ,2026-06-20,48651.91,CANCELLED,2026-07-05 08:00:00
136,S202602,gabriel mendoza ,2026-07-01,35988.87,CANCELLED,2026-07-06 08:00:00
137,S202606,MARIA CLARA SANTOS,2026-07-05,47449.74,CANCELLED,2026-07-07 08:00:00
138,S202604,MARIA CLARA SANTOS,2026-07-10,40317.07,nan,2026-07-08 08:00:00
139,S202608,Ana Reyes,2026-07-12,63868.48,nan,2026-07-09 08:00:00
140,S202606,MARIA CLARA SANTOS,2026-07-15,58956.55,Paid,2026-07-10 08:00:00
